Warning: Design 'ALU_v1_Nbit32' has '1' unresolved references. For more detailed information, use the "link" command. (UID-341)
 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : ALU_v1_Nbit32
Version: Z-2007.03-SP1
Date   : Thu Oct 19 01:04:43 2017
****************************************

Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

  Startpoint: A[0] (input port)
  Endpoint: ALUout[31] (output port)
  Path Group: (none)
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  MUL/P4A14/A[15] (P4adderN_Nbit32)                       0.00       2.20 r
  MUL/P4A14/STCG/A[15] (SparseTreeCarryGenNBM_Nbit32)     0.00       2.20 r
  MUL/P4A14/STCG/PGB_0_16/A (PGblock_17_1)                0.00       2.20 r
  MUL/P4A14/STCG/PGB_0_16/U1/Z (XOR2_X1)                  0.05       2.25 f
  MUL/P4A14/STCG/PGB_0_16/P (PGblock_17_1)                0.00       2.25 f
  MUL/P4A14/STCG/PG1_2_1_8/P1 (PG_21_1)                   0.00       2.25 f
  MUL/P4A14/STCG/PG1_2_1_8/U3/ZN (AOI21_X1)               0.05       2.31 r
  MUL/P4A14/STCG/PG1_2_1_8/U2/ZN (INV_X1)                 0.02       2.33 f
  MUL/P4A14/STCG/PG1_2_1_8/Gout (PG_21_1)                 0.00       2.33 f
  MUL/P4A14/STCG/PG1_2_2_4/G1 (PG_10_1)                   0.00       2.33 f
  MUL/P4A14/STCG/PG1_2_2_4/U3/ZN (AOI21_X1)               0.05       2.38 r
  MUL/P4A14/STCG/PG1_2_2_4/U2/ZN (INV_X1)                 0.02       2.40 f
  MUL/P4A14/STCG/PG1_2_2_4/Gout (PG_10_1)                 0.00       2.40 f
  MUL/P4A14/STCG/PG3_3_4/G1 (PG_5_1)                      0.00       2.40 f
  MUL/P4A14/STCG/PG3_3_4/U3/ZN (AOI21_X1)                 0.05       2.45 r
  MUL/P4A14/STCG/PG3_3_4/U2/ZN (INV_X1)                   0.02       2.48 f
  MUL/P4A14/STCG/PG3_3_4/Gout (PG_5_1)                    0.00       2.48 f
  MUL/P4A14/STCG/G3_E_4_3/G1 (G_5_1)                      0.00       2.48 f
  MUL/P4A14/STCG/G3_E_4_3/U2/ZN (AOI21_X1)                0.05       2.53 r
  MUL/P4A14/STCG/G3_E_4_3/U1/ZN (INV_X1)                  0.05       2.58 f
  MUL/P4A14/STCG/G3_E_4_3/Gout (G_5_1)                    0.00       2.58 f
  MUL/P4A14/STCG/G3_E_5_6/G2 (G_2_1)                      0.00       2.58 f
  MUL/P4A14/STCG/G3_E_5_6/U2/ZN (AOI21_X1)                0.06       2.64 r
  MUL/P4A14/STCG/G3_E_5_6/U1/ZN (INV_X1)                  0.04       2.68 f
  MUL/P4A14/STCG/G3_E_5_6/Gout (G_2_1)                    0.00       2.68 f
  MUL/P4A14/STCG/Cout[7] (SparseTreeCarryGenNBM_Nbit32)
                                                          0.00       2.68 f
  MUL/P4A14/CSN/Ci[7] (CarrySumNBM_Nbit32)                0.00       2.68 f
  MUL/P4A14/CSN/CSN_7/Ci (CSBlockNBM_Nbit4_1)             0.00       2.68 f
  MUL/P4A14/CSN/CSN_7/MUX/S (mux21N_N5_1_1)               0.00       2.68 f
  MUL/P4A14/CSN/CSN_7/MUX/muxes_3/S (MUX21_2_1)           0.00       2.68 f
  MUL/P4A14/CSN/CSN_7/MUX/muxes_3/U1/Z (MUX2_X1)          0.07       2.75 f
  MUL/P4A14/CSN/CSN_7/MUX/muxes_3/Y (MUX21_2_1)           0.00       2.75 f
  MUL/P4A14/CSN/CSN_7/MUX/U[3] (mux21N_N5_1_1)            0.00       2.75 f
  MUL/P4A14/CSN/CSN_7/S[3] (CSBlockNBM_Nbit4_1)           0.00       2.75 f
  MUL/P4A14/CSN/S[31] (CarrySumNBM_Nbit32)                0.00       2.75 f
  MUL/P4A14/S[31] (P4adderN_Nbit32)                       0.00       2.75 f
  MUL/p[31] (BoothMulWallace_Nbit32)                      0.00       2.75 f
  MUXout/in2[31] (mux161N)                                0.00       2.75 f
  MUXout/row1_2/in0[31] (mux21N_N32_14)                   0.00       2.75 f
  MUXout/row1_2/muxes_31/in0 (MUX21_417)                  0.00       2.75 f
  MUXout/row1_2/muxes_31/U1/Z (MUX2_X1)                   0.06       2.81 f
  MUXout/row1_2/muxes_31/Y (MUX21_417)                    0.00       2.81 f
  MUXout/row1_2/U[31] (mux21N_N32_14)                     0.00       2.81 f
  MUXout/row2_1/in1[31] (mux21N_N32_7)                    0.00       2.81 f
  MUXout/row2_1/muxes_31/in1 (MUX21_193)                  0.00       2.81 f
  MUXout/row2_1/muxes_31/U1/Z (MUX2_X1)                   0.06       2.88 f
  MUXout/row2_1/muxes_31/Y (MUX21_193)                    0.00       2.88 f
  MUXout/row2_1/U[31] (mux21N_N32_7)                      0.00       2.88 f
  MUXout/row3_1/in0[31] (mux21N_N32_3)                    0.00       2.88 f
  MUXout/row3_1/muxes_31/in0 (MUX21_65)                   0.00       2.88 f
  MUXout/row3_1/muxes_31/U1/Z (MUX2_X1)                   0.06       2.94 f
  MUXout/row3_1/muxes_31/Y (MUX21_65)                     0.00       2.94 f
  MUXout/row3_1/U[31] (mux21N_N32_3)                      0.00       2.94 f
  MUXout/row4_1/in0[31] (mux21N_N32_1)                    0.00       2.94 f
  MUXout/row4_1/muxes_31/in0 (MUX21_0)                    0.00       2.94 f
  MUXout/row4_1/muxes_31/U1/Z (MUX2_X1)                   0.06       3.00 f
  MUXout/row4_1/muxes_31/Y (MUX21_0)                      0.00       3.00 f
  MUXout/row4_1/U[31] (mux21N_N32_1)                      0.00       3.00 f
  MUXout/Y[31] (mux161N)                                  0.00       3.00 f
  ALUout[31] (out)                                        0.00       3.01 f
  data arrival time                                                  3.01
  --------------------------------------------------------------------------
  (Path is unconstrained)


